Question,label,pred
Can the uncertainty range around projected greenhouse gas emissions be materially reduced?,0,1
Will improvements in climate science reduce scenario-dependent uncertainties in future emissions?,0,1
Do improvements in climate models increase the estimates of climate response uncertainty?,1,0
Have heavy precipitation increases occurred globally?,0,1
Are there discernable changes in tropical cyclone frequency?,0,1
Is there a consistent definition of extreme climatic events?,0,1
Has the frequency of heat waves decreased in the south-eastern USA?,1,0
Have extreme precipitation events increased globally?,0,1
Is there evidence of decreases in heavy precipitation in southern Australia?,1,0
Have droughts decreased in central North America?,1,0
Are there slight decreases in the frequency of tropical cyclones making landfall in the North Atlantic?,1,0
Is there evidence of a longer-term trend in other ocean basins?,0,1
Are there limited changes in extremes associated with other climate variables since the mid-20th century?,1,0
Does the temperature trend decrease as depth increases in the ocean?,1,0
Would increases in Earth's surface temperature slow within about a decade if greenhouse gas concentrations were constant?,1,0
Does seawater's salinity change over human time scales?,0,1
Is the Atlantic the saltiest ocean basin?,1,0
Does the Pacific ocean experience nearly balanced precipitation gain and evaporation loss?,1,0
Are long-term precipitation records available only from over the land?,1,0
Are there long-term measurements of evaporation?,0,1
Can land-based observations provide evidence of changes in drought?,0,1
Does the Earth's water cycle involve condensation?,0,1
Is there a lack of long-term observations of rain and evaporation over the global land areas?,0,1
Can the addition or removal of salt alter seawater's salinity?,0,1
"Does the distribution of salinity at the ocean surface largely reflect the spatial pattern of precipitation minus evaporation, runoff from land, and sea ice processes?",0,1
Have the precipitation-dominated subpolar and tropical regions become saltier over time?,0,1
Are long-term precipitation records available from both land and ocean?,0,1
Are there long-term measurements of evaporation over the oceans?,1,0
Does ocean salinity reflect and amplify the difference between water gained by the ocean from precipitation and water lost through evaporation?,0,1
Is ocean salinity affected by water runoff from the continents?,0,1
Is ocean salinity affected by the melting and freezing of land-based glaciers?,0,1
Can fresh water added by melting ice on land significantly change global-averaged salinity?,0,1
Have changes in precipitation and runoff minus evaporation resulted in localized salinity changes in the upper ocean over the past 50 years?,0,1
Is the snowfall rate over Antarctic sea ice higher than in the Arctic?,1,0
Does sea ice drift predominantly from east to west near the Antarctic coast?,1,0
Does sea ice drift from west to east and highly diverge further north near the Antarctic?,1,0
Has the annual extent of sea ice in the Antarctic increased at about 1.5% per decade over the past 34 years?,1,0
Is the overall increase in Antarctic sea ice extent meaningful as an indicator of climate due to variations from year to year and from place to place around the continent?,1,0
Does the available evidence preclude making robust statements about overall changes in Antarctic sea ice and their causes?,1,0
Is it possible to make robust statements about the overall changes in Antarctic sea ice and their causes without better ice thickness and ice volume estimates?,1,0
Have glaciers disappeared in the Andes?,1,0
Are glacier characteristics in the Karakoram-Himalaya mountain range still only poorly known?,1,0
Is the solar contribution to the global surface temperature change dominated by the 11-year solar cycle?,1,0
Do the mechanisms that amplify the regional effects of TSI have little effect on global mean temperatures?,1,0
Can fluctuations in TSI be considered relatively small?,0,1
Does the increase in global surface temperatures since the late 1970s coincide with the direct measurement of TSI by satellites?,0,1
Do volcanic eruptions contribute to global surface temperature change by injecting greenhouse gases into the atmosphere?,0,1
Can internal climate variability have a major effect on global mean temperature?,0,1
Is there high uncertainty regarding the effects of future solar activity on climate?,0,1
Is local sea level falling at a rate approaching 10 mm yr-1 along the northern Swedish coast?,1,0
"Are local rates of sea level change estimated from direct measures recorded in sedimentary, fossil, and archaeological archives?",0,1
The Arctic domain is a net source of CO2.,0,1
The Arctic is a significant source of global wetland methane emissions.,0,1
Thawing permafrost significantly contributes to the global budgets of CO2 and methane.,0,1
Methane production by microbes in waterlogged soils is limited by oxygen availability.,0,1
Warmer temperatures lead to reduced carbon dioxide uptake by Arctic vegetation.,0,1
Loss of permafrost soil carbon occurs rapidly over short time scales.,0,1
"Modelling studies indicate that permafrost feedback is relatively fast, occurring within decades.",0,1
Hydrates consist of methane and oxygen molecule clusters.,0,1
CH4 seepages from the Arctic Siberian shelf and Siberian lakes are a significant contribution to the global CH4 budget.,0,1
"Reactive chemical compounds in the atmosphere, like methane, are broken down and removed by sink processes.",0,1
CO2 is a non-reactive gas that quickly mixes throughout the troposphere.,1,0
Plankton growth in the ocean is significantly affected by the availability of inorganic carbon from anthropogenic CO2.,0,1
The ocean dominates carbon uptake over shorter time scales compared to land.,0,1
Carbonic acid is the main form in which CO2 exists in the ocean.,0,1
A smaller fraction of CO2 remains in the atmosphere for shorter periods when higher emissions are released.,1,0
Does the precipitation that reaches the surface represent a net cooling of the air?,0,1
Does a shift from thick high clouds to thin cirrus clouds disturb the compensation between reflecting sunlight and reducing infrared light emission?,0,1
Can global cloud feedbacks be inferred from observations of long-term cloud trends?,0,1
Does a compensation between thick high clouds and thin cirrus clouds disturb the surface temperature sensitivity to changes in high cloud amount?,0,1
Is the impact of aerosols on the global mean surface temperature over the past two decades considered significant?,0,1
Are anthropogenic aerosols expected to have a small cooling influence on the Earth's surface in the future?,0,1
Can the global impact of aerosols be determined solely by satellite data and models?,1,0
Is it easier to measure black carbon than absorbing aerosols?,1,0
Direct air capture methods operate much more rapidly than other CDR methods.,1,0
Afforestation in the tropics may accelerate global warming.,0,1
SRM can compensate for the warming caused by greenhouse gases in both day and night.,0,1
SRM can cool the Earth to pre-industrial levels within a decade or two.,1,0
Stratospheric aerosols would increase plant productivity.,1,0
SRM can cool polar regions more than tropical regions.,1,0
Stratospheric aerosols would increase the amount of direct sunlight reaching the surface.,1,0
Is the typical residence time of water vapor in the atmosphere one day?,0,1
Can an increase in atmospheric water vapor be interpreted as a radiative forcing from anthropogenic emissions?,0,1
Do climate models suffer from fewer sources of error compared to their predecessors?,0,1
"Is large-scale oceanic variability, such as El Nino-Southern Oscillation (ENSO) fluctuations, the dominant source of internal climate variability on decadal to centennial time scales?",1,0
Did simulations driven only by natural forcings fail to reproduce late 20th-century global warming at the surface with a similar pattern of change as observed?,0,1
Does natural climate variability increase with distance from the equator?,1,0
Will projected warming emerge in middle latitudes before the mid-21st century?,0,1
Is the local temperature variability smaller in summer compared to winter?,1,0
Have the probabilities of many other extreme weather events changed substantially?,0,1
Will warming become obvious in middle latitudes during winter within the next several decades?,0,1
Are warming trends expected to emerge more slowly in middle latitudes during winter?,1,0
Will the warming trend emerge more quickly in the tropics compared to other parts of the globe?,1,0
"Are local temperature curves in FAQ 10.2, Figure 1 based on assumed future emissions scenarios?",1,0
Are model warming projections based on the same assumed future emissions scenario?,1,0
Does the increase required for summer temperature change depend on the rate of change?,0,1
Does the date of future emergence of projected warming trends depend on the rate of atmospheric greenhouse gas accumulation?,0,1
Is there a direct link between the increase required for summer temperature change and the rate of change?,0,1
Does the spread of model warming projections depend on the amount of local variability?,0,1
Can the dispersion of sulphur dioxide in the upper atmosphere be predicted during a volcanic eruption?,0,1
Do ash or tephra particles emitted during volcanic eruptions affect the global climate?,0,1
Did the 1980 Mount St. Helens eruption have detectable global climate impacts?,0,1
Do high-latitude eruptions have effects only in the hemisphere where they occurred?,1,0
Do tropical or subtropical volcanoes produce more global surface cooling compared to high-latitude eruptions?,1,0
Did the 1783 Laki eruption in Iceland cause record warm summer temperatures in Europe?,1,0
